statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
41322;Geflügelstatistik: Erh. in Geflügelschlachtereien;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;TIERG4;Geflügelart;TIERART519;Wachteln;376;Anzahl;GTR001;Geschlachtete Tiere;e
41322;Geflügelstatistik: Erh. in Geflügelschlachtereien;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;TIERG4;Geflügelart;TIERART519;Wachteln;66;kg;GTR002;Schlachtmenge;e
41322;Geflügelstatistik: Erh. in Geflügelschlachtereien;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;TIERG4;Geflügelart;TIERART515;Jungmasthühner;88;Anzahl;GTR003;Geflügelschlachtereien;e
41322;Geflügelstatistik: Erh. in Geflügelschlachtereien;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;TIERG4;Geflügelart;TIERART515;Jungmasthühner;626898320;Anzahl;GTR001;Geschlachtete Tiere;e
41322;Geflügelstatistik: Erh. in Geflügelschlachtereien;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;TIERG4;Geflügelart;TIERART515;Jungmasthühner;1106660407;kg;GTR002;Schlachtmenge;e
41322;Geflügelstatistik: Erh. in Geflügelschlachtereien;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;TIERG4;Geflügelart;TIERART511;Gänse;91;Anzahl;GTR003;Geflügelschlachtereien;e
41322;Geflügelstatistik: Erh. in Geflügelschlachtereien;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;TIERG4;Geflügelart;TIERART511;Gänse;452200;Anzahl;GTR001;Geschlachtete Tiere;e
41322;Geflügelstatistik: Erh. in Geflügelschlachtereien;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;TIERG4;Geflügelart;TIERART511;Gänse;2084057;kg;GTR002;Schlachtmenge;e
41322;Geflügelstatistik: Erh. in Geflügelschlachtereien;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;TIERG4;Geflügelart;;Insgesamt;164;Anzahl;GTR003;Geflügelschlachtereien;e
41322;Geflügelstatistik: Erh. in Geflügelschlachtereien;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;TIERG4;Geflügelart;;Insgesamt;693907669;Anzahl;GTR001;Geschlachtete Tiere;e
41322;Geflügelstatistik: Erh. in Geflügelschlachtereien;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;TIERG4;Geflügelart;;Insgesamt;1569773984;kg;GTR002;Schlachtmenge;e
